metric,k,mean_null,mean_cluster,delta,ci_low,ci_high,perm_p,cohens_d
d_avg,1.0,0.3099581376170542,0.1860049357618208,0.1239532018552334,,,1.999960000799984e-05,19.22928263695213
d_avg,2.0,0.3148391404086488,0.1816552064246076,0.1331839339840411,,,1.999960000799984e-05,19.22928263695213
d_avg,3.0,0.8164333333333333,0.719,0.0974333333333333,0.0864666666666666,0.1090358333333333,,
d_avg,3.0,0.3265044956559045,0.1810605192356276,0.1454439764202769,,,1.999960000799984e-05,19.22928263695213
d_avg,4.0,0.3335883344235162,0.1848156408816902,0.148772693541826,,,1.999960000799984e-05,19.22928263695213
d_avg,5.0,0.8184400000000001,0.7176,0.10084,0.0920979999999999,0.1095399999999999,,
d_avg,5.0,0.3037285783456491,0.1815758680566059,0.1221527102890431,,,1.999960000799984e-05,19.22928263695213
d_avg,6.0,0.3190032843807929,0.1833419414818044,0.1356613428989885,,,1.999960000799984e-05,19.22928263695213
d_avg,7.0,0.8188142857142859,0.7162000000000001,0.1026142857142858,0.0952425000000001,0.1095289285714287,,
d_avg,7.0,0.3241471086025945,0.1816677814576818,0.1424793271449127,,,1.999960000799984e-05,19.22928263695213
d_avg,8.0,0.2987880174710481,0.1831380805999255,0.1156499368711226,,,1.999960000799984e-05,19.22928263695213
d_avg,9.0,0.3092391044517669,0.181538571182247,0.1277005332695198,,,1.999960000799984e-05,19.22928263695213
d_avg,10.0,0.81918,0.717,0.10218,0.0959087499999999,0.1084602499999998,,
d_avg,10.0,0.3078727646524215,0.1825633699377941,0.1253093947146274,,,1.999960000799984e-05,19.22928263695213
d_avg,11.0,0.3367966035515597,0.1810037741641829,0.1557928293873768,,,1.999960000799984e-05,19.22928263695213
d_avg,12.0,0.3114823841611259,0.1819228598874512,0.1295595242736747,,,1.999960000799984e-05,19.22928263695213
d_avg,13.0,0.3390926367060598,0.1840306164433289,0.1550620202627309,,,1.999960000799984e-05,19.22928263695213
d_avg,14.0,0.3245571805717985,0.1809772765238023,0.1435799040479961,,,1.999960000799984e-05,19.22928263695213
d_avg,15.0,0.3173330410894316,0.1819210224813931,0.1354120186080384,,,1.999960000799984e-05,19.22928263695213
d_avg,16.0,0.3177531584048411,0.1835925602239149,0.1341605981809261,,,1.999960000799984e-05,19.22928263695213
d_avg,17.0,0.314854442630432,0.1845171984459799,0.130337244184452,,,1.999960000799984e-05,19.22928263695213
d_avg,18.0,0.3342407277491447,0.1818091741226398,0.1524315536265049,,,1.999960000799984e-05,19.22928263695213
d_avg,19.0,0.3187988010673985,0.1815165563022861,0.1372822447651124,,,1.999960000799984e-05,19.22928263695213
d_avg,20.0,0.3136969008029708,0.1908912878224788,0.122805612980492,,,1.999960000799984e-05,19.22928263695213
d_avg,21.0,0.3190243833373504,0.1846439646880432,0.1343804186493071,,,1.999960000799984e-05,19.22928263695213
d_avg,22.0,0.3214678376452468,0.1848320510260834,0.1366357866191634,,,1.999960000799984e-05,19.22928263695213
d_avg,23.0,0.3133839951142982,0.1831837118017486,0.1302002833125496,,,1.999960000799984e-05,19.22928263695213
d_avg,24.0,0.3139612688173006,0.1807369233087278,0.1332243455085728,,,1.999960000799984e-05,19.22928263695213
d_avg,25.0,0.3200304144395994,0.1825686834056631,0.1374617310339363,,,1.999960000799984e-05,19.22928263695213
d_avg,26.0,0.3131006403377848,0.1829633466267528,0.130137293711032,,,1.999960000799984e-05,19.22928263695213
d_avg,27.0,0.3167769866792504,0.1816451970145579,0.1351317896646924,,,1.999960000799984e-05,19.22928263695213
d_avg,28.0,0.3086073957901933,0.1845418378742344,0.1240655579159589,,,1.999960000799984e-05,19.22928263695213
d_avg,29.0,0.3194660381795855,0.1812827823281514,0.138183255851434,,,1.999960000799984e-05,19.22928263695213
d_avg,30.0,0.3148952962157164,0.1831614067220448,0.1317338894936716,,,1.999960000799984e-05,19.22928263695213
